Question,A,B,C,D
Hệ thống Ant Colony System (ACS) và Max-Min Ant System (MMAS) có điểm gì nổi bật?,"ACS sử dụng xếp hạng lời giải, MMAS phạt lời giải tồi nhất","ACS cập nhật pheromone cục bộ/toàn cục, MMAS giới hạn giá trị pheromone","ACS áp dụng mutation, MMAS chỉ dùng heuristic","ACS áp dụng song song, MMAS chỉ dùng tuần tự"
Tọa độ góc trong chuyển động quay của vật rắn có vai trò tương tự như đại lượng nào trong chuyển động tịnh tiến?,Vận tốc,Quãng đường,Vị trí,Gia tốc
Kiến trúc SASRec dựa trên mô hình nào?,Transformer Decoder,RNN,Markov Chain,CNN
"Với hàm f(x)=x2+5sin⁡(x)f(x) = x^2 + 5\sin(x)f(x)=x2+5sin(x), đạo hàm là f′(x)=2x+5cos⁡(x)f'(x) = 2x + 5\cos(x)f′(x)=2x+5cos(x). Nếu khởi tạo x0=−5x_0 = -5x0​=−5, learning rate η=0.1\eta = 0.1η=0.1, thuật toán hội tụ sau khoảng bao nhiêu vòng lặp theo tài liệu?",Khoảng 5 vòng lặp,Khoảng 20 vòng lặp,Khoảng 11 vòng lặp,Khoảng 29 vòng lặp
Điểm then chốt để phân biệt va chạm đàn hồi và va chạm mềm là:,"Va chạm đàn hồi chỉ xảy ra ở chất rắn, va chạm mềm chỉ xảy ra ở chất lỏng","Va chạm đàn hồi bảo toàn cả động lượng và năng lượng, va chạm mềm chỉ bảo toàn động lượng","Va chạm đàn hồi bảo toàn khối lượng, va chạm mềm không bảo toàn khối lượng","Va chạm đàn hồi chỉ xảy ra trong phòng thí nghiệm, va chạm mềm xảy ra trong tự nhiên"
Nội dung chính phần 2 của tài liệu HMM (Public_105) là gì?,Trình bày lịch sử phát triển của Markov Chain,"Giới thiệu các thuật toán (Forward, Backward, Viterbi), giả định cơ bản và ứng dụng POS Tagging",Mô tả các mô hình mạng nơ-ron và ứng dụng trong NLP,Giải thích chi tiết công thức EM và tối ưu tham số trong Deep Learning
Ai là người đề xuất mẫu nguyên tử dựa trên quỹ đạo dừng và bức xạ/thu năng lượng rời rạc?,Rutherford,Bohr,Einstein,Planck
"Một học sinh ngồi trên ghế xoay cầm hai quả tạ 3 kg, ban đầu dang tay ra cách trục 1,0 m và quay với tốc độ góc 0,75 rad/s. Khi co tay lại còn cách 0,3 m, hãy cho biết tốc độ góc mới so với ban đầu:","Nhỏ hơn 0,75 rad/s.","Bằng 0,75 rad/s.","Lớn hơn 0,75 rad/s.",Không xác định được.
"Theo tài liệu Public_113, ý tưởng cốt lõi của RNN là gì?",RNN sử dụng nhiều tầng nơ-ron độc lập,RNN dùng vòng lặp để lưu thông tin từ bước trước,RNN không cần trạng thái ẩn,RNN chỉ xử lý dữ liệu dạng hình ảnh
Quang phổ liên tục được tạo thành trong điều kiện nào?,"Khi chất rắn, lỏng hoặc khí có áp suất cao bị nung nóng",Khi khí loãng bị kích thích,Khi ánh sáng truyền qua lăng kính,Khi electron bật khỏi bề mặt kim loại
"Theo tài liệu Public_144, nguyên tắc quan trọng cần nhớ khi nghiên cứu về điện trường là gì?",Điện tích có thể tự sinh ra trong môi trường chân không,"Điện tích luôn được bảo toàn, và điện trường truyền tác dụng theo không gian xung quanh điện tích",Điện tích dương chỉ tồn tại trong vật cách điện,Điện trường chỉ xuất hiện trong chất bán dẫn
Nhiễu xạ ánh sáng là gì?,Hiện tượng ánh sáng truyền thẳng không đổi hướng,Hiện tượng ánh sáng bị lệch hướng khi đi qua khe hẹp hoặc gặp vật cản,Hiện tượng ánh sáng bị tán sắc thành nhiều màu,Hiện tượng ánh sáng phản xạ trên bề mặt gương
Định luật vạn vật hấp dẫn do Newton phát biểu năm nào?,1543,1601,1687,1704
Hiệu điện thế giữa hai điểm trong điện trường là gì?,Hiệu số khối lượng giữa hai điện tích đặt ở hai điểm đó,Công của lực điện dịch chuyển một đơn vị điện tích dương từ điểm này sang điểm kia,Lực hút giữa hai điện tích,Tốc độ dịch chuyển của electron giữa hai điểm
"Khi nào sóng dừng hình thành, theo tài liệu Public_142?",Khi sóng truyền gặp một vật cản và bị hấp thụ,"Khi hai sóng truyền ngược chiều có cùng tần số, biên độ giao thoa với nhau",Khi sóng truyền trong chân không,Khi sóng gặp vật cản và bị triệt tiêu hoàn toàn
Đặc điểm nào định nghĩa chuyển động tròn đều?,Độ lớn của vận tốc thay đổi theo thời gian,Hướng vận tốc thay đổi liên tục còn độ lớn vận tốc không đổi,Vật luôn đứng yên tại chỗ,Lực tác dụng lên vật luôn bằng 0
"Trong PCA, công thức của ma trận hiệp phương sai SSS và toạ độ sau khi chiếu Z (trên K thành phần chính) lần lượt là gì?",S=N1​XXT; Z=UKTXZ = U_K^T XZ=UKT​X,S=N1​X^TX^; Z=X^UKZ = \hat{X}U_KZ=X^UK​,S=N1​X^X^T; Z=UKTX^Z = U_K^T \hat{X}Z=UKT​X^,S=X^X^T; Z=UKX^Z = U_K \hat{X}Z=UK​X^
Đơn vị chuẩn của thời gian (giây) hiện nay được định nghĩa dựa trên:,Dao động của con lắc chuẩn,Dao động của nguyên tử Cesium-133,Chu kỳ quay của Trái đất quanh Mặt Trời,Khoảng thời gian ánh sáng đi hết 1 mét
Nội dung chính của tài liệu Public_115 đề xuất điều gì?,Giới thiệu mạng CNN truyền thống cho xử lý ảnh sáng yếu,Trình bày cách dùng HSV để cải thiện chất lượng ảnh,Đề xuất không gian màu HVI và mạng CIDNet để nâng cao chất lượng ảnh ánh sáng yếu,Thảo luận về cảm biến camera trong môi trường ánh sáng yếu
Nội dung chính của tài liệu về CNN tập trung vào vấn đề gì?,Hướng dẫn cài đặt phần mềm CNN trên máy tính,Trình bày các ứng dụng CNN trong phát hiện khuôn mặt,"Giới thiệu lý thuyết tích chập, kiến trúc CNN, các tính chất và ứng dụng trong xử lý ảnh",So sánh CNN với các mô hình RNN
"Với một câu đầu vào có 4 từ và mỗi từ có thể gán 4 nhãn khác nhau (v, n, p, d), tổng số chuỗi nhãn *có thể có* mà thuật toán Viterbi xem xét là bao nhiêu?",4,8,256,16
Định luật vạn vật hấp dẫn của Newton giải thích những hiện tượng nào?,"Trái Đất quay quanh Mặt Trời, sự rơi tự do và quỹ đạo sao chổi",Sự nở nhiệt của chất rắn khi tăng nhiệt độ,Sóng cơ học truyền trong chất rắn,Dao động điều hòa của con lắc lò xo
Động lượng của một vật phụ thuộc trực tiếp vào:,Khối lượng và vận tốc của vật,Khối lượng và gia tốc của vật,Lực tác dụng và thời gian tác dụng,Năng lượng và công mà vật thực hiện
CSSR phản ánh điều gì trong chất lượng mạng?,Tỉ lệ rớt cuộc gọi,Tỉ lệ thành công của handover,Tỉ lệ thiết lập cuộc gọi thành công,Tỉ lệ nghẽn kênh thoại
Nội dung chính của phần 1 trong tài liệu Public_111 là gì?,"Khái niệm, định nghĩa mạng Bayes và các ví dụ",Cách tối ưu hóa bài toán tìm đường đi,Các biến thể của thuật toán Bayes,So sánh thuật toán Bayes với các thuật toán khác
“Learning rate” (ký hiệu η\etaη) trong Gradient Descent có vai trò gì?,Xác định hướng di chuyển của tham số,Điều chỉnh tốc độ cập nhật tham số ở mỗi vòng lặp,Kiểm tra đạo hàm có đúng hay không,Đảm bảo thuật toán hội tụ đến global minimum
“Mômen động lượng của một vật rắn quay quanh trục z được xác định bởi đại lượng nào và điều kiện nào khiến nó được bảo toàn?”,Xác định bởi khối lượng; bảo toàn khi hệ chịu lực ma sát.,"Xác định bởi 
𝐼𝜔,  bảo toàn khi tổng mômen ngoại lực bằng 0.",Xác định bởi vận tốc tuyến tính; bảo toàn khi vật quay nhanh.,Xác định bởi bán kính quay; bảo toàn khi không có ngoại lực.
"Trong âm học, (1) đặc trưng nào quyết định độ to nhỏ của âm, và (2) đặc trưng nào quyết định âm sắc?",(1) Cường độ âm; (2) Thành phần phổ tần số,(1) Tần số; (2) Biên độ,(1) Biên độ; (2) Pha dao động,(1) Vận tốc truyền âm; (2) Nhiệt độ môi trường
Đặc trưng vật lý nào quyết định độ cao (trầm hay bổng) của âm?,Biên độ,Tần số,Cường độ,Pha
Thuật toán nào thường dùng để giải quyết bài toán giải mã cho các mã sửa lỗi?,Forward,Baum-Welch,Viterbi,EM
GRU4Rec và BERT4Rec khác nhau chủ yếu ở điểm nào?,"GRU4Rec dùng self-attention, BERT4Rec dùng RNN","GRU4Rec có ngữ cảnh hai chiều, BERT4Rec chỉ một chiều",Cả hai đều không dùng embedding,"GRU4Rec dựa trên GRU, BERT4Rec khai thác ngữ cảnh hai chiều bằng kiến trúc BERT"
"Với một HMM có N trạng thái và chuỗi quan sát độ dài T, độ phức tạp của thuật toán Viterbi là bao nhiêu?",O(NT),O(T²),O(N²T),O(N³T)
"Trong tài liệu Public_146, bản chất ánh sáng được khẳng định như thế nào?",Chỉ là hạt,Chỉ là sóng,Lưỡng tính sóng – hạt,Không thể xác định được
LDR là viết tắt của gì trong xử lý ảnh?,Layered Difference Representation,Local Density Reconstruction,Linear Difference Ratio,Layer Distribution Regression
"Một vật rắn ở trạng thái cân bằng tĩnh phải thỏa mãn điều kiện nào, và trong cân bằng quay thì gia tốc góc của vật có giá trị bao nhiêu?","Tổng ngoại lực bằng 0, và gia tốc góc của vật bằng 0","Tổng ngoại lực khác 0, và gia tốc góc của vật bằng 0","Tổng ngoại lực bằng 0, và gia tốc góc của vật khác 0","Tổng ngoại lực khác 0, và gia tốc góc của vật khác 0"
"Theo tài liệu Public_142, tại nút sóng của sóng dừng có đặc điểm gì?",Biên độ dao động cực đại,Biên độ dao động bằng 0,Pha dao động thay đổi ngẫu nhiên,Tần số dao động gấp đôi so với nguồn
Các yếu tố nào được sử dụng để tính bản đồ trọng số (weight map) trong bước multi-exposure fusion?,Chỉ độ tương phản,Chỉ độ sắc nét,Chỉ độ bão hòa màu,"Độ tương phản, độ sắc nét và độ bão hòa màu"
Nguyên lý bảo toàn mômen động lượng phát biểu những gì?,Mômen động lượng của hệ luôn thay đổi theo thời gian.,Mômen động lượng của hệ không đổi nếu tổng mômen ngoại lực bằng 0.,Mômen động lượng của hệ không phụ thuộc vào ngoại lực,Mômen động lượng chỉ bảo toàn khi vật đứng yên.
"Theo tài liệu Public_131, định luật bảo toàn động lượng khẳng định điều gì trong hệ cô lập?",Tổng động lượng của hệ luôn bằng 0,Tổng động lượng của hệ không đổi theo thời gian,Động lượng của từng vật trong hệ không đổi,Tổng động lượng của hệ tỉ lệ với khối lượng hệ
"Theo tài liệu Public_140, sóng cơ học là gì?",Dao động lan truyền trong môi trường vật chất,Dao động lan truyền trong chân không,Chuyển động của các hạt theo quỹ đạo tròn,Dao động điện từ trong không gian
Thuật toán Q-Learning là thuộc loại nào trong học tăng cường?,On-policy,Off-policy,Hybrid-policy,None of the above
"Cho 5 đối tượng được xếp hạng tương ứng là A, C, E, D, B; một xếp hạng của đối tượng cần đánh giá là A, E, B, D, C. Tính chỉ số MAP (Mean Average Precision) theo công thức được cho trong tài liệu Public_121.",1/2,2/5,3/2,3/4
Các ứng dụng thực tế của hiện tượng giao thoa sóng trong nghiên cứu khoa học và kỹ thuật được trình bày trong tài liệu Public_141 là gì?,"Xác định bước sóng của sóng cơ, sóng ánh sáng",Xác định khối lượng riêng của vật rắn,Đo gia tốc rơi tự do g,Tính công suất của nguồn điện
Bộ dữ liệu CIFAR-10 gồm bao nhiêu hình ảnh dùng cho huấn luyện?,10,60,50,70
"Một vật chuyển động tròn đều bán kính 2 m, tốc độ góc 10 rad/s. Hãy tính vận tốc dài của vật.",5 m/s,10 m/s,15 m/s,20 m/s
Công thức tính kích thước đầu ra (W2) trong phép tích chập phụ thuộc vào những yếu tố nào?,Kích thước batch và depth,Số lượng đơn vị và số lớp fully connected,"Kích thước đầu vào, kích thước bộ lọc, stride, padding",Chỉ số pixel trong ảnh
Ứng dụng của hiệu điện thế trong việc truyền tải và phân phối điện năng là gì?,Xác định khối lượng riêng của chất rắn,Đo và cung cấp năng lượng điện trong mạch điện,Kiểm tra độ bền của vật liệu,Nghiên cứu cấu trúc phân tử
Linear-Chain CRFs thường được áp dụng trong bài toán nào?,Gán nhãn thực thể có tên (NER),Phân loại văn bản,Dịch máy,Sinh văn bản
"Trong thiết kế tập trung, node nào chịu trách nhiệm tổng hợp gradient và cập nhật tham số mô hình?",Worker node,Master node,Parameter server,Client node
"Sử dụng thông tin từ tài liệu Public_126, hãy cho biết quãng đường ánh sáng đi được trong chân không trong 1 microsecond (1 µs = 10⁻⁶ s).","299,8 m",2.998 m,"29,98 m","0,2998 m"
Đơn vị của áp suất trong hệ SI là gì?,N/m,N/m² (Pa),J/s,W/m²
Ai là người đầu tiên đưa ra bằng chứng thực nghiệm rõ ràng về bản chất sóng của ánh sáng?,Newton,Huygens,Young,Einstein
"Trong hệ tọa độ cực, điểm được mô tả bằng những yếu tố nào và hệ tọa độ Descartes mô tả điểm bằng những yếu tố nào?",Khoảng cách và góc; hoành độ và tung độ	,Độ lớn và khối lượng; chiều dài và chiều rộng,Thời gian và vận tốc; khối lượng và lực,Góc và chiều dài; năng lượng và công
Đặc điểm đặc biệt của thuộc tính được chọn C(max) trong Naive Bayes theo Public_112 là gì?,Có xác suất điều kiện cao nhất,Độc lập hoàn toàn với các xác suất còn lại,Gắn chặt với đặc điểm nhận dạng ban đầu,Giá trị đặc trưng của dữ liệu huấn luyện
"Trong mẫu Bohr, electron chuyển động quanh hạt nhân theo các quỹ đạo như thế nào?","Tùy ý, liên tục",Quỹ đạo dừng có năng lượng xác định,Quỹ đạo tròn bán kính bất kỳ,Dao động qua lại quanh hạt nhân
"Trong dao động điều hòa, (1) điều kiện nào để gọi là dao động điều hòa, và (2) đặc điểm của lực hồi phục là gì?",(1) Gia tốc tỉ lệ với độ dời và ngược hướng với độ dời; (2) Lực hồi phục luôn hướng về vị trí cân bằng,(1) Vận tốc luôn không đổi theo thời gian; (2) Lực hồi phục luôn hướng ra xa vị trí cân bằng,(1) Biên độ dao động thay đổi theo thời gian; (2) Lực hồi phục độc lập với li độ,. (1) Vật chỉ dao động được trong môi trường chân không; (2) Lực hồi phục luôn cùng chiều với li độ
Tóm tắt nội dung chính của văn bản,"Bài viết giới thiệu Attention và sự hình thành Transformer, so sánh với RNN và LSTM",Văn bản phân tích chi tiết toàn bộ kiến trúc GPT-4,Nội dung chính tập trung vào mạng CNN trong xử lý ảnh,Bài viết nói về cách triển khai Attention trong hệ thống recommendation
"Trong chuyển động tròn đều, gia tốc hướng tâm của vật luôn:",Hướng ra ngoài theo phương bán kính,Hướng vào tâm quỹ đạo tròn,Tiếp tuyến với quỹ đạo,Bằng 0 vì vận tốc có độ lớn không đổi
Cơ sở của động lực học quay quanh trục cố định được xây dựng trên mối quan hệ nào?,Giữa lực và vận tốc góc,Giữa mômen lực và gia tốc góc,Giữa khối lượng và gia tốc tuyến tính,Giữa quãng đường và thời gian
"Trong dao động điều hòa đơn giản của hệ con lắc lò xo (khối lượng m, độ cứng lò xo k), tần số góc ω phụ thuộc vào đại lượng nào?",Chỉ phụ thuộc vào m.,Chỉ phụ thuộc vào k.,Phụ thuộc vào cả k và m theo dạng √(k/m).,Phụ thuộc vào biên độ A.
Thuật toán BFS có độ phức tạp và yêu cầu bộ nhớ như thế nào?,"Độ phức tạp nhỏ, bộ nhớ lớn","Độ phức tạp lớn, bộ nhớ lớn","Độ phức tạp nhỏ, bộ nhớ nhỏ","Độ phức tạp lớn, bộ nhớ nhỏ"
Tìm tài liệu mô tả cơ chế hoạt động của hệ thống truyền lực tạo ra gia tốc khi ô tô tăng tốc và cơ chế hoạt động của hệ thống lái cùng hệ thống treo khi ô tô đổi hướng.,Bàn đạp ga; vô lăng,Vô lăng; phanh,Bàn đạp ga; phanh,Chỉ bàn đạp ga
"Trong thiết kế phân tán, cơ chế Allgather dùng để làm gì và ưu điểm chính của thiết kế này là gì?",Chia sẻ dữ liệu và giảm bottleneck,Giảm learning rate và tăng chính xác,Chia sẻ gradient giữa các node và loại bỏ bottleneck master node,Lưu checkpoint và tăng tốc inference
"Trong trạng thái tĩnh, chất lưu tác dụng lực theo hướng nào lên bề mặt vật?",Vuông góc với bề mặt,Song song với bề mặt,Chỉ theo phương thẳng đứng,Chỉ theo phương ngang
"Trong chuyển động quay, đại lượng nào đặc trưng cho mức “lười” quay của vật và định lý nào được dùng để tính mômen quán tính khi trục quay không đi qua trọng tâm?",Mômen lực; định lý Varignon,Mômen quán tính; định lý các trục song song,Lực hướng tâm; định lý bảo toàn năng lượng,Động năng quay; định lý độc lập lực song song
"Nếu một chuỗi có độ dài quá lớn gây ra vấn đề gradient vanish/explode, mô hình nào trong tài liệu Public_109 được thiết kế để giải quyết vấn đề này?",RNN thường,GRU,Naive Bayes,KNN
Ứng dụng quan trọng của hiện tượng sóng dừng trong thực tế là gì?,"Xác định bước sóng trong ống khí, dây đàn, nhạc cụ",Đo lực ma sát giữa hai bề mặt,Tính khối lượng riêng của chất lỏng,Xác định gia tốc rơi tự do g
"Một vật khối lượng  m=0,5 kg được treo vào lò xo có độ cứng 
k=200 N/m. Tính chu kỳ T của dao động điều hòa (lấy π≈3,1416).","0,0314 s","0,1571 s","0,3142 s","0,6283 s"
Tính chất đầy đủ của thuật toán BFS được hiểu như thế nào?,Thuật toán có thể tìm tất cả lời giải có thể,Thuật toán có thể tìm ra lời giải tối ưu nhất,Thuật toán có thể tìm ra lời giải kể cả với bài toán có kích cỡ vô hạn,"Nếu bài toán có lời giải, thuật toán đảm bảo sẽ tìm được lời giải"
Gradient Descent (GD) cập nhật tham số theo quy tắc nào đối với hàm một biến?,xt+1=xt+ηf′(xt)x_{t+1} = x_t + \eta f'(x_t)xt+1​=xt​+ηf′(xt​),xt+1=xt−ηf′(xt)x_{t+1} = x_t - \eta f'(x_t)xt+1​=xt​−ηf′(xt​),xt+1​=xt​−η∣f′(xt​)∣,xt+1=xt+η∣f′(xt)∣x_{t+1} = x_t + \eta |f'(x_t)|xt+1​=xt​+η∣f′(xt​)∣
"Một mũi khoan nhỏ mất thời gian Δt để dừng hẳn do mômen ma sát. Nếu thay bằng mũi khoan lớn có mômen quán tính gấp đôi, cùng tốc độ góc ban đầu và cùng mômen ma sát, thì thời gian để dừng lại sẽ là:","0,5 Δt",Δt,2 Δt,4 Δt
"Trong thí nghiệm giao thoa sóng mặt nước với hai nguồn kết hợp cùng pha cách nhau 
10cm, bước sóng của sóng là 2cm. Một điểm M nằm trên đường trung trực của hai nguồn. Tại M sẽ xảy ra hiện tượng gì?",Giao thoa cực tiểu (biên độ nhỏ nhất),Giao thoa cực đại (biên độ lớn nhất),Không có sự giao thoa,Biên độ dao động thay đổi ngẫu nhiên
"Nếu có 4 worker trong thiết kế phân tán, mỗi worker tính được gradient ∇L(θ)i\nabla L(\theta)_i. Khi dùng cơ chế trung bình, gradient tổng hợp sẽ được tính như thế nào?",∇L(θ)=∑∇L(θ)i\nabla L(\theta) = \sum \nabla L(\theta)_i,∇L(θ)=∇L(θ)1\nabla L(\theta) = \nabla L(\theta)_1,∇L(θ)=max⁡(∇L(θ)i)\nabla L(\theta) = \max(\nabla L(\theta)_i),∇L(θ)=∑∇L(θ)i4\nabla L(\theta) = \frac{\sum \nabla L(\theta)_i}{4}
"Theo tài liệu Public_147, một kim loại có công thoát là 2 eV. Nếu chiếu ánh sáng có năng lượng photon đúng bằng 2 eV, thì electron có bật ra không và động năng cực đại bằng bao nhiêu?","Có, động năng bằng 2 eV","Có, động năng bằng 0","Không, vì năng lượng photon nhỏ hơn công thoát","Không, vì electron không thể rời khỏi kim loại"
"Nếu robot ở trạng thái st nhận phần thưởng tức thời rt = 5, hằng số chiết khấu γ = 0.9, và giá trị Q kỳ vọng của trạng thái kế tiếp là 10, thì giá trị cập nhật Q mới theo Q-Learning sẽ là bao nhiêu (giả sử Q cũ = 0)?",5,14,15,9
Nội dung chính về BFS trong tài liệu Public_106 là gì?,Trình bày bài toán tìm đường đi ngắn nhất,Phân tích ưu nhược điểm của các thuật toán tìm đường đi,"Định nghĩa, nguyên tắc, các cải tiến và tính chất của thuật toán BFS",Chọn nút ở biên xa nhất so với gốc
Mục tiêu cốt lõi của PCA là gì?,Tối đa hoá chuẩn Frobenius của dữ liệu sau khi xoay,Tối đa hoá trace của ma trận hiệp phương sai theo mọi chiều,Tối thiểu hoá số trị riêng của ma trận hiệp phương sai,Tối thiểu hoá tổng phương sai còn lại trên các chiều bị loại bỏ (tương đương tối đa tổng phương sai trên KKK chiều giữ lại)
Tầng POOL trong CNN có mục đích chính là gì?,"Giảm kích thước ma trận đầu vào, giữ đặc trưng chính",Tăng số bộ lọc để học đặc trưng mới,Chuyển đổi ma trận thành vector,Kích hoạt phi tuyến bằng hàm ReLU
"Sử dụng kiến thức từ Tài liệu Public_133, hãy xác định lực mà mỗi giá đỡ tác dụng lên thanh đồng chất dài 2m, khối lượng 10kg, đặt nằm ngang và tựa trên hai giá đỡ tại hai đầu, với trọng lượng thanh tác dụng tại trọng tâm.",25 N,50 N,100 N,200 N
Sự khác biệt giữa Feature Map và Activation Map là gì?,"Feature Map là output của fully connected, Activation Map là output pooling","Feature Map là kết quả tích chập, Activation Map là kết quả sau khi áp dụng hàm kích hoạt","Feature Map là kết quả pooling, Activation Map là kết quả flatten",Feature Map và Activation Map giống nhau
"Một điểm có tọa độ Descartes (−3,5;−2,5)(-3,5 ; -2,5)(−3,5;−2,5) m. Hãy xác định tọa độ cực (r, θ) của điểm này.","r=4,30m,θ=216∘","r=4,30m,θ=144∘","r=3,50m,θ=216∘","r=2,50m,θ=144∘"
"Theo thực nghiệm của Millikan, điện tích có tính chất cơ bản nào?",Điện tích liên tục,"Điện tích lượng tử hóa, tồn tại theo bội số của điện tích nguyên tố e",Điện tích chỉ xuất hiện trên electron,Điện tích không thể bảo toàn
Tác dụng chính của lực hướng tâm trong chuyển động tròn đều là gì?,Làm thay đổi độ lớn của vận tốc,Giữ cho vật chuyển động theo quỹ đạo tròn,Làm cho vận tốc luôn không đổi,Triệt tiêu lực quán tính ly tâm
"Dựa vào tài liệu Public_139, hãy trình bày khái niệm, phương trình dao động và đặc điểm năng lượng của dao động điều hòa.",Tổng năng lượng (động năng + thế năng) của một dao động điều hòa không phụ thuộc thời gian (nếu không có tắt dần).,Biên độ A xác định tần số của dao động điều hòa.,"Khi vật qua vị trí cân bằng, thế năng đạt cực đại.",Dao động điều hòa chỉ xuất hiện trong lò xo và con lắc đơn.
"Trong điện học, (1) đại lượng nào đặc trưng cho khả năng sinh công của điện trường tại một điểm, và (2) hiệu điện thế có ý nghĩa gì đối với chuyển động của điện tích?",(1) Điện thế; (2) Hiệu điện thế cho biết công của lực điện khi điện tích dịch chuyển giữa hai điểm,(1) Cường độ điện trường; (2) Hiệu điện thế cho biết tốc độ electron dịch chuyển,(1) Điện tích; (2) Hiệu điện thế cho biết hướng của lực điện,(1) Công suất; (2) Hiệu điện thế cho biết khối lượng riêng của điện tích
Không gian màu HVI được thiết kế nhằm mục đích chính nào?,Giảm số lượng kênh màu trong RGB,Tăng tốc huấn luyện mạng nơ-ron,Tách biệt rõ ràng độ sáng và màu sắc,Tái sử dụng trực tiếp không gian HSV
Các ứng dụng quan trọng của sóng cơ học trong đời sống và kỹ thuật là gì?,"Sóng âm trong thông tin liên lạc, siêu âm trong y học, sóng địa chấn nghiên cứu Trái Đất","Sóng ánh sáng trong viễn thông, laser trong y học",Dòng điện xoay chiều trong truyền tải điện năng,Hạt nhân nguyên tử trong sản xuất điện hạt nhân
Phát biểu nào đúng về số chiều tối đa sau khi áp dụng multi-class LDA với C lớp?,Bất kỳ số nào ≤ D,Không vượt quá C − 1,Luôn bằng D′ = C,Không xác định
Nội dung chính của tài liệu Public_122 là gì?,Trình bày các kỹ thuật histogram equalization và tone mapping,Giới thiệu mô hình Retinex cổ điển,Đề xuất phương pháp Dual Illumination Estimation và Multi-Exposure Fusion để cải thiện hiệu chỉnh phơi sáng,So sánh hiệu quả nén ảnh giữa các phương pháp
Hệ thức nào về hàm mật độ/phân phối đồng thời là đúng khi hai biến ngẫu nhiên xxx và yyy độc lập?,"p(x∣y)=p(x) và do đó p(x,y)=p(x)p(y)p(x,y)=p(x)p(y)p(x,y)=p(x)p(y)","p(x,y)=p(x∣y)p(y)","p(y∣x)=p(y) nhưng p(x,y)≠p(x)p(y)p(x,y)\ne p(x)p(y)p(x,y)=p(x)p(y)",p(x∣y)=p(y∣x)
Một vật có khối lượng 2 kg chuyển động với vận tốc 5 m/s. Động năng của vật bằng:,10 J,15 J,20 J,25 J
"Với mức độ rẽ nhánh là b và độ sâu lời giải d, độ phức tạp bộ nhớ của thuật toán BFS là gì?",O(b + d),O(bd),O(bd + 1),O(b^d)
"Trong thuật toán ACO, ký hiệu nào biểu diễn thông tin kinh nghiệm (heuristic information)?",τrs,q0,ηrs,Ck
Ai là người đầu tiên giới thiệu hệ thống Ant System (AS) trong luận văn năm 1992?,Marco Dorigo,Alberto Colorni,Vittorio Maniezzo,Thomas Stützle
Q-Learning và SARSA khác nhau chủ yếu ở điểm nào?,"Q-Learning là On-policy, SARSA là Off-policy",Cả hai đều là On-policy,"Q-Learning là Off-policy, SARSA là On-policy",Không có sự khác biệt
"Trong thuật toán BFS, mỗi trạng thái sinh ra b trạng thái kề. Từ nút gốc sẽ sinh ra b nút với độ sâu 1, các nút này lại sinh ra b2 nút với độ sâu 2,... Giả sử nút đích của bài toán nằm ở độ sâu d. Tổng số nút cần mở rộng để tìm ra nút đích là bao nhiêu?",1 + b + b2 + ... + bd + 1,1 + b + b2 + ... + bd,1 + b + b2 + ... + bd + b(d+1),1 + b + b2 + ... + b(d +1) + 1
CRFs mô hình hóa loại xác suất nào?,Xác suất của chuỗi quan sát P(X),"Xác suất đồng thời P(X,Y)",Xác suất có điều kiện P(Y|X),Xác suất của chuỗi nhãn P(Y)
Hiện tượng quang phổ được ứng dụng chủ yếu để làm gì trong khoa học và kỹ thuật?,Giúp xác định thành phần cấu tạo của các chất và thiên thể,Giúp xác định khối lượng nguyên tử,Dùng để đo cường độ dòng điện,Dùng để kiểm tra tính đàn hồi của vật liệu
"Trong multi-class LDA, các ma trận within-class và between-class là gì?",S_W = ∑_k ∑_{n∈C_k} (x_n − m)(x_n − m)^T; S_B = ∑_k (m_k − m)(m_k − m)^T,S_W = ∑_k N_k (m_k − m)(m_k − m)^T; S_B = ∑_k ∑_{n∈C_k} (x_n − m_k)(x_n − m_k)^T,S_W = ∑_k ∑_{n∈C_k} (x_n − m)(x_n − m)^T; S_B = ∑_k (m_k − m)(m_k − m)^T,S_W = XX^T; S_B = mm^T
Chuẩn-2 (spectral norm) của ma trận A được định nghĩa tương đương với đại lượng nào?,∥A∥2​=max∥x∥1​=1​∥Ax∥∞​,∥A∥2​=λmax​(AAT)​ (bình phương là trị riêng lớn nhất của AATAA^TAAT),∥A∥2​=λmax​(A) với mọi AAA,∥A∥2​=trace(ATA)
Cổng nào trong GRU quyết định mức độ ảnh hưởng của trạng thái trước đó lên trạng thái mới?,Cổng cập nhật (update gate),Cổng đầu vào (input gate),Cổng xoá bỏ (reset gate),Cổng đầu ra (output gate)
Các ứng dụng thực tiễn quan trọng của định luật Pascal trong đời sống và kỹ thuật là gì?,"Máy nén khí, tua-bin gió, động cơ phản lực","Phanh thủy lực, xe nâng, đòn bẩy thủy lực","Bánh răng truyền động, động cơ điện, máy biến áp","Cần trục, máy xúc, băng tải"
"Yếu tố giữ vai trò quyết định trong việc phân loại cân bằng bền, cân bằng không bền và cân bằng phiếm định là:",Khối lượng của vật,Hình dạng bên ngoài của vật,Vị trí tương đối giữa trọng tâm và điểm tựa,Lực ma sát tác dụng lên vật
Đơn vị của gia tốc hướng tâm trong hệ SI là:,m/s,m/s²,rad/s,rad/s²
